product_id,product_name,category,price,supplier_id,total_quantity,avg_quantity,order_count,avg_price,price_std,avg_rating,cluster_dbscan,is_anomaly
1,Office Chair,Furniture,445.01,501,2.0,1.0,2.0,140.1,120.58999046355382,4.0,-1,True
2,Coffee Maker,Home & Kitchen,937.29,502,33.0,4.714285714285714,7.0,507.8771428571429,294.7230789353675,1.0,0,False
3,Document Scanner,Electronics,940.02,503,52.0,4.333333333333333,12.0,297.03749999999997,229.7491139610969,1.0,0,False
4,Desk Mat,Accessories,76.11,504,78.0,6.0,13.0,465.0023076923077,324.9379211006784,1.0,-1,True
5,Tablet Stand,Accessories,388.17,505,38.0,3.4545454545454546,11.0,370.6336363636364,348.8967337557842,1.0,0,False
6,Drawer Unit,Furniture,457.31,506,23.0,3.2857142857142856,7.0,537.8971428571429,285.0964582800171,1.0,-1,True
7,Bath Towels,Home & Kitchen,710.31,507,45.0,5.0,9.0,292.92,242.96195252549316,3.0,5,False
8,External SSD,Electronics,522.82,508,37.0,3.7,10.0,368.95099999999996,336.8021674003235,2.0,1,False
9,Computer Speakers,Electronics,20.36,509,38.0,3.8,10.0,366.479,308.65182132947155,2.0,-1,True
10,Gaming Keyboard,Electronics,776.2,510,14.0,3.5,4.0,382.0675,211.85547123373203,2.0,-1,True
11,Gaming Mouse Pad,Accessories,313.63,511,48.0,5.333333333333333,9.0,299.8933333333333,285.935953187073,4.0,2,False
12,Rice Cooker,Home & Kitchen,161.04,512,32.0,4.0,8.0,300.88124999999997,265.070037884195,4.0,2,False
13,Phone Grip,Accessories,134.78,513,31.0,6.2,5.0,562.278,373.4017443317586,5.0,-1,True
14,Toaster Oven,Home & Kitchen,844.45,514,60.0,4.615384615384615,13.0,308.7515384615385,248.0825327334351,2.0,3,False
15,Laptop Stand,Accessories,44.45,515,41.0,3.727272727272727,11.0,445.2918181818182,390.2492352284161,3.0,6,False
16,Mechanical Keyboard,Electronics,931.97,516,31.0,3.875,8.0,238.61249999999998,314.22763321924987,4.0,-1,True
17,Food Processor,Home & Kitchen,139.62,517,43.0,4.3,10.0,518.243,338.42557166482953,5.0,4,False
18,Monitor Stand,Furniture,413.14,518,48.0,4.363636363636363,11.0,312.9645454545455,383.89987948327456,2.0,1,False
19,Laptop Sleeve,Accessories,394.45,519,69.0,5.3076923076923075,13.0,281.0523076923077,272.18343147449434,5.0,-1,True
20,Wireless Mouse,Electronics,358.27,520,24.0,4.8,5.0,428.264,374.93752296882747,3.0,-1,True
21,Power Strip,Electronics,277.62,521,69.0,4.928571428571429,14.0,258.6407142857143,226.90717602186976,2.0,-1,True
22,Microphone,Electronics,648.71,522,45.0,3.75,12.0,445.1125,299.3894382701689,3.0,5,False
23,Bookshelf,Furniture,491.45,523,81.0,4.5,18.0,347.9483333333334,315.58310670603913,1.0,-1,True
24,Portable Charger,Accessories,635.81,524,47.0,5.222222222222222,9.0,447.4811111111111,318.03960038195106,5.0,-1,True
25,Bluetooth Headphones,Electronics,640.9,525,45.0,3.2142857142857144,14.0,316.6307142857143,326.7112566275348,1.0,0,False
26,Noise Cancelling Headset,Electronics,345.18,526,52.0,5.2,10.0,350.418,288.9528878862051,1.0,0,False
27,Smart Watch,Electronics,824.9,527,56.0,5.090909090909091,11.0,278.4990909090909,276.40769455478426,5.0,-1,True
28,Cable Organizer,Accessories,942.15,528,69.0,4.0588235294117645,17.0,227.05823529411765,230.20931011894632,1.0,-1,True
29,Storage Containers,Home & Kitchen,916.26,529,1.0,1.0,1.0,991.71,0.0,1.0,-1,True
30,Kitchen Blender,Home & Kitchen,163.28,530,51.0,4.636363636363637,11.0,360.6490909090909,336.26740438093447,3.0,6,False
31,Wall Clock,Home & Kitchen,980.09,531,53.0,5.3,10.0,528.095,348.6755130569905,2.0,3,False
32,Storage Shelf,Furniture,79.41,532,46.0,3.8333333333333335,12.0,237.57500000000002,276.4465193552568,5.0,4,False
33,WiFi Router,Electronics,148.6,533,41.0,5.125,8.0,387.96500000000003,276.51357130217986,4.0,2,False
34,Air Purifier,Home & Kitchen,638.17,534,58.0,6.444444444444445,9.0,434.1477777777778,370.60016283650555,4.0,7,False
35,Smartphone Case,Accessories,513.39,535,41.0,6.833333333333333,6.0,158.65,118.22870345224969,4.0,7,False
36,Standing Desk,Furniture,788.9,536,52.0,4.0,13.0,428.1753846153846,324.2061782933659,2.0,3,False
37,Throw Pillows,Home & Kitchen,832.24,537,55.0,3.9285714285714284,14.0,435.5371428571429,278.4232762271412,5.0,-1,True
38,Wireless Charger,Electronics,545.44,538,39.0,3.9,10.0,318.86800000000005,313.3686327917614,4.0,7,False
39,Wireless Presenter,Electronics,845.76,539,52.0,4.7272727272727275,11.0,462.2336363636363,323.1412817104224,1.0,0,False
40,USB-C Hub,Electronics,786.96,540,83.0,5.533333333333333,15.0,458.28999999999996,308.63206131480985,2.0,3,False
41,Wireless Earbuds,Electronics,510.93,541,33.0,3.6666666666666665,9.0,186.86555555555555,160.0645052870179,3.0,-1,True
42,Electric Kettle,Home & Kitchen,260.72,542,52.0,5.2,10.0,244.215,264.8917379379315,5.0,4,False
43,Desk Organizer,Accessories,379.79,543,50.0,4.545454545454546,11.0,418.8354545454545,357.5620529744071,3.0,6,False
44,Screen Protector,Accessories,423.14,544,20.0,4.0,5.0,420.158,250.95002125921408,5.0,-1,True
45,Desk Lamp,Home & Kitchen,582.2,545,34.0,3.090909090909091,11.0,458.94,415.0953314360449,2.0,1,False
46,4K Monitor,Electronics,715.55,546,22.0,7.333333333333333,3.0,317.28666666666663,251.1945065747524,2.0,-1,True
47,Water Bottle,Home & Kitchen,431.25,547,50.0,5.555555555555555,9.0,302.26222222222225,326.4816923955223,1.0,0,False
48,File Cabinet,Furniture,648.43,548,70.0,4.375,16.0,383.19,299.17718052462936,4.0,-1,True
49,Webcam HD,Electronics,6.19,549,62.0,5.166666666666667,12.0,510.695,353.13680430471334,1.0,-1,True
50,Keyboard Wrist Rest,Accessories,476.46,550,58.0,6.444444444444445,9.0,509.3677777777778,243.342423694358,3.0,6,False
51,Office Chair,Furniture,704.55,551,43.0,3.5833333333333335,12.0,487.95666666666665,331.2763348662627,1.0,0,False
52,Coffee Maker,Home & Kitchen,159.46,552,47.0,5.222222222222222,9.0,360.06666666666666,345.2162102943603,2.0,-1,True
53,Document Scanner,Electronics,241.3,553,31.0,3.875,8.0,195.82625000000002,322.7717123796632,5.0,-1,True
54,Desk Mat,Accessories,767.2,554,10.0,10.0,1.0,696.5,0.0,2.0,-1,True
55,Tablet Stand,Accessories,674.61,555,58.0,4.833333333333333,12.0,373.75,345.8752952096516,3.0,5,False
56,Drawer Unit,Furniture,794.85,556,45.0,5.0,9.0,228.56333333333336,306.0271748145906,1.0,0,False
57,Bath Towels,Home & Kitchen,995.21,557,40.0,4.444444444444445,9.0,496.76666666666665,336.9388353989489,3.0,-1,True
58,External SSD,Electronics,234.44,558,28.0,5.6,5.0,280.774,399.95325293088945,3.0,-1,True
59,Computer Speakers,Electronics,974.96,559,27.0,5.4,5.0,309.2,298.3588823045159,2.0,-1,True
60,Gaming Keyboard,Electronics,716.78,560,35.0,5.0,7.0,489.61428571428576,379.61718642412836,1.0,0,False
61,Gaming Mouse Pad,Accessories,499.53,561,62.0,5.166666666666667,12.0,498.2191666666667,351.78051800049553,4.0,7,False
62,Rice Cooker,Home & Kitchen,621.24,562,27.0,3.857142857142857,7.0,455.90142857142854,358.32045682733826,2.0,-1,True
